activityID,activityName,duration,cost,quantity,wbsSeq,actSeq
2513E55R000LE00030,Summary- Process Engineering(R),227,5,10,a,1
2513E55R000LE00040,Summary- Civil Engineering(R),468,5,10,b,2
2513E55R000LE00050,Summary- Structure Engineering(R),361,5,10,c,3
2513E55R000LE00060,Summary- Architecture Engineering(R),239,5,10,d,4
2513E55R000LE00070,Summary- Electrical Engineering(R),444,5,10,e,5
2513E55R000LE00080,Summary- Instrument Engineering(R),410,5,10,a,6
2513E55R000LE00090,Summary- HVAC Engineering(R),282,5,10,b,7
2513E55R000LE00100,Summary- Fire Fighting Engineering(R),270,5,10,c,8
2513E55R000LE00110,Summary- Water Treatment Engineering(R),277,5,10,d,9
2513E55R000LE00120,Summary- HSE Engineering(R),466,5,10,e,10
2513C55R000LE00011,Summary- Early Civil Works(R)-Phase2,276,5,10,a,11
2513P55R000LE00010,Summary- Instrument Air Compressor & Air Dryer Package(R),508,5,10,b,12
2513P55R000LE00020,Summary- Piping Procurement(R),582,5,10,c,13
2513P55R000LE00030,Summary- Water Treatment Procurement(R),532,5,10,d,14
2513C55R000LE00020,Summary- Civil Construction(R),469,5,10,e,15
2513C55R000LE00030,Summary- Architecture Construction(R),458,5,10,a,16
2513C55R000LE00040,Summary- Electrical Construction(R),322,5,10,b,17
2513C55R000LE00050,Summary- Piping Construction(R),446,5,10,c,18
2513C55R000LE00060,Summary- Instrument Construction(R),161,5,10,d,19
2513C55R000LE00070,Summary- Mechanical Construction(R),333,5,10,e,20
2513C55R000LE00080,Summary- Steel structure Construction(R),323,5,10,a,21
2513C55R000LE00090,Summary- Temporary Construction(R),198,5,10,b,22
2513C55R000LE00010,Summary- Early Civil Works(R)-Phase1,205,5,10,c,23
2513P55R000LE00040,Summary- Produced Water Treatment Package(R),533,5,10,d,24
2513P55R000LE00050,Summary- Sand Removal Package(R),531,5,10,e,25
2513P55R000LE00060,Summary- Air Cooled Heat Exchanger(R),545,5,10,a,26
2513P55R000LE00200,Summary- ICSS&ENCS (R),399,5,10,b,27
2513F55R000LE00010,Summary- Pre-Commissioning (R),129,5,10,c,28
2513G55R000LE00010,Summary- Commissioning (R),152,5,10,d,29
2513G55R000LE00020,Summary- Start-Up & Performance Test(R),8,5,10,e,30
2513P55R000LE00070,Summary- Carbon Steel Pressure Vessel(R),437,5,10,a,31
2513P55R000LE00080,Summary- Stainless Steel & Clad Pressure Vessel(R),399,5,10,b,32
2513P55R000LE00090,Summary- Shell & Tube Heat Exchanger(R),485,5,10,c,33
2513P55R000LE00100,Summary- Nitrogen Generator Package(R),459,5,10,d,34
2513E55R000LE00010,Summary- Mechanical Engineering(R),551,5,10,e,35
2513E55R000LE00020,Summary- Piping Engineering(R),389,5,10,a,36
2513C55R000LE00100,Summary- Common Area(R. Hold)-MP,756,5,10,b,37
2513C55R000LE00110,Summary - Gate Area(R)-MP,351,5,10,c,38
2513C55R000LE00120,Summary - Manifold Area(R)-MP,562,5,10,d,39
2513C55R000LE00130,Summary - Oil Treatment Area(R)-MP,500,5,10,e,40
2513C55R000LE00140,Summary - Hot Oil Area(R)-MP,539,5,10,a,41
2513C55R000LE00150,Summary - Utility Area(R)-MP,576,5,10,b,42
2513C55R000LE00160,Summary - Make-Up Tank & Hot Oil Drain Drum Area(R)-MP,508,5,10,c,43
2513C55R000LE00170,Summary - Water Injection & Produced Water Area(R)-MP,486,5,10,d,44
2513C55R000LE00180,Summary - Flow Tank & Off-Spec Oil Tank Area(R)-MP,405,5,10,e,45
2513C55R000LE00190,Summary - Fire Water Area(R)-MP,483,5,10,a,46
2513C55R000LE00200,Summary - Main Substation Area(R)-MP,495,5,10,b,47
2513C55R000LE00210,Summary - Substation Area(R)-MP,503,5,10,c,48
2513C55R000LE00220,Summary - Pipe Rack Area(R)-MP,599,5,10,d,49
2513C55R000LE00230,Summary - Control Building Area(R)-MP,579,5,10,e,50
2513C55R000LE00240,Summary - Admin Building Area(R)-MP,410,5,10,a,51
2513C55R000LE00250,Summary - Flare & Blowdown Area(R)-MP,491,5,10,b,52
2513E55R000ME35160,Roof Handrail Drawing for Intermediate Produced Water Tank - IFC,153,5,10,c,53
2513E55R000ME35170,Pipe Support Clip & Insulation Clip Drawing for Intermediate Produced Water Tank - IFD,20,5,10,d,54
2513E55R000ME35180,Pipe Support Clip & Insulation Clip Drawing for Intermediate Produced Water Tank - IFC,133,5,10,e,55
2513E55R000ME35190,Platform & Ladder Drawing for Intermediate Produced Water Tank - IFD,19,5,10,a,56
2513E55R000ME35200,Platform & Ladder Drawing for Intermediate Produced Water Tank - IFC,153,5,10,b,57
2513E55R000ME35210,Name Plate Drawing for Intermediate Produced Water Tank - IFD,21,5,10,c,58
2513E55R000ME35220,Name Plate Drawing for Intermediate Produced Water Tank - IFC,113,5,10,d,59
2513E55R000ME35150,Roof Handrail Drawing for Intermediate Produced Water Tank - IFD,19,5,10,e,60
2513E55R000ME35130,Shell Nozzle Drawing for Intermediate Produced Water Tank - IFD,21,5,10,a,61
