activityID,value,qty,cost,risk
E0010,1,FALSE,FALSE,FALSE
E0010,1,FALSE,FALSE,FALSE
E0010,1,FALSE,FALSE,FALSE
E0010,5,FALSE,FALSE,FALSE
E0010,5,FALSE,FALSE,FALSE
E0010,5,FALSE,FALSE,FALSE
E0010,5,FALSE,FALSE,FALSE
E0010,6,FALSE,FALSE,FALSE
E0010,6,FALSE,FALSE,FALSE
E0030,1,FALSE,FALSE,FALSE
E0030,1,FALSE,FALSE,FALSE
E0030,1,FALSE,FALSE,FALSE
E0030,5,FALSE,FALSE,FALSE
E0030,5,FALSE,FALSE,FALSE
E0030,5,FALSE,FALSE,FALSE
E0030,5,FALSE,FALSE,FALSE
E0030,6,FALSE,FALSE,FALSE
E0050,6,FALSE,FALSE,FALSE
E0050,1,FALSE,FALSE,FALSE
E0050,1,FALSE,FALSE,FALSE
E0050,1,FALSE,FALSE,FALSE
E0050,5,FALSE,FALSE,FALSE
E0050,5,FALSE,FALSE,FALSE
E0050,5,FALSE,FALSE,FALSE
E0050,5,FALSE,FALSE,FALSE
E0050,6,FALSE,FALSE,FALSE
E0050,6,FALSE,FALSE,FALSE
E0020,1,FALSE,FALSE,FALSE
E0020,1,FALSE,FALSE,FALSE
E0020,1,FALSE,FALSE,FALSE
E0020,6,FALSE,FALSE,FALSE
E0020,6,FALSE,FALSE,FALSE
E0020,6,FALSE,FALSE,FALSE
E0020,7,FALSE,FALSE,FALSE
E0020,7,FALSE,FALSE,FALSE
E0020,7,FALSE,FALSE,FALSE
E0040,1,FALSE,FALSE,FALSE
E0040,1,FALSE,FALSE,FALSE
E0040,1,FALSE,FALSE,FALSE
E0040,6,FALSE,FALSE,FALSE
E0040,6,FALSE,FALSE,FALSE
E0040,6,FALSE,FALSE,FALSE
E0040,7,FALSE,FALSE,FALSE
E0040,7,FALSE,FALSE,FALSE
E0040,7,FALSE,FALSE,FALSE
E0060,1,FALSE,FALSE,FALSE
E0060,1,FALSE,FALSE,FALSE
E0060,1,FALSE,FALSE,FALSE
E0060,6,FALSE,FALSE,FALSE
E0060,6,FALSE,FALSE,FALSE
E0060,6,FALSE,FALSE,FALSE
E0060,7,FALSE,FALSE,FALSE
E0060,7,FALSE,FALSE,FALSE
E0060,7,FALSE,FALSE,FALSE
P0010,1,FALSE,FALSE,FALSE
P0010,2,FALSE,FALSE,FALSE
P0010,3,FALSE,FALSE,FALSE
P0010,3,FALSE,FALSE,FALSE
P0010,3,FALSE,FALSE,FALSE
P0010,6,FALSE,FALSE,FALSE
P0010,6,FALSE,FALSE,FALSE
P0010,48,FALSE,FALSE,FALSE
P0030,1,FALSE,FALSE,FALSE
P0030,2,FALSE,FALSE,FALSE
