predecessorID,successorID,relationship,lagtime
2513G55R000CM00320,2513M55R000ML11940,FS,0
2513G55R000CM00330,2513M55R000ML00060,FS,0
2513G55R000CM00330,2514M55S000ML10470,FS,31
2513M55R000ML55060,2513P55R000PI14010,FS,0
2513M55R000ML55070,2513P55R000PI12010,FF,0
2513M55R000ML55080,2513C88R150PI00075,FS,0
2513M55R000ML55090,2513P55R000EL13010,FS,0
2513M55R000ML55110,2513E88R000ST23025,FS,0
2513M55R000ML56200,2513C88R699SS00013,FS,0
2513M55R000ML00033,2513C20R200LL00071,FS,0
2513M55R000ML00035,2513C20R210LL00084,FS,0
2513M55R000ML00036,2513C60R510LL00072,FS,0
2513M55R000ML00020,2513C55R000EW10320,FS,0
2513M55R000ML00020,2513E55R000GE10040,FS,10
2513M55R000ML00020,2514E55R000CV20010,FS,108
2513M55R000ML00020,2513E55R000GE10010,FS,0
2513M55R000ML00039,2513F55R570CM00370,FS,0
2513M55R000ML57310,2513C40R690AR00020,FS,0
2513M55R000ML57420,2513C60R510LL00071,FS,67
2513M55R000ML57430,2513C20R200LL00072,FS,50
2513M55R000ML57440,2513C20R210LL00081,FS,56
2513M55R000ML57480,2513C99R230CV00082,FS,0
2513M55R000ML57520,2513C30R420CV00082,FS,0
2513M55R000ML40500,2513C55R000EW10140,FS,0
2513M55R000ML40510,2513C55R690EW00020,FS,0
2513M55R000ML40170,2513M55R000ML57200,FS,0
2513M55R000ML40190,2513M55R000ML40200,FS,0
2513M55R000ML40104,2513C55R000EW10130,FS,0
2513M55R000ML40260,2513C55R000EW10110,FS,0
2513M55R000ML40290,2513C55R000TP00050,FS,0
2513M55R000ML40020,2513G55R000CM00300,FS,0
2513M55R000ML40040,2513M55R000ML40085,FS,0
2513M55R000ML40060,2513C55R000EW10012,FS,0
2513M55R000ML40090,2513C55R000TP00050,FS,0
2513M55R000ML20150,2513F55R510CM00330,FS,0
2513M55R000ML20170,2513E55R000IN15080,FS,0
2513M55R000ML20450,2513F55R210CM00340,FS,0
2513M55R000ML10500,2513G55R000CM00300,FS,0
2513M55R000ML10360,2513M55R000ML10470,FS,0
2513M55R000ML10380,2513M55R000ML10490,FS,0
2513M55R000ML10220,2513M55R000ML10330,FS,0
2513M55R000ML10820,2513G55R000CM00300,FS,0
2513M55R000ML10700,2513M55R000ML10780,FS,0
2513M55R000ML10630,2513M55R000ML10710,FS,0
2513M55R000ML10870,2513M55R000ML10950,FS,0
2513M55R000ML11150,2513M55R000ML11230,FS,0
2513M55R000ML10590,2513M55R000ML10830,FS,0
2513M55R000ML10650,2513M55R000ML10730,FS,0
2513M55R000ML10640,2513M55R000ML10720,FS,0
2513M55R000ML11090,2513M55R000ML11170,FS,0
2513M55R000ML11250,2513G55R000CM00300,FS,0
2513M55R000ML10850,2513M55R000ML10930,FS,0
2513M55R000ML11680,2513M55R000ML11890,FS,0
2513M55R000ML11540,2513M55R000ML11740,FS,0
2513M55R000ML11610,2513M55R000ML11820,FS,0
2513M55R000ML11600,2513G55R430CM00080,FS,0
2513M55R000ML11380,2513M55R000ML11570,FS,0
2513M55R000ML11430,2513F55R510CM00330,FS,0
2513M55R000ML11330,2513F55R130CM00420,FS,0
2513M55R000ML10050,2514M55S000ML10050,FS,0
2513F55R970CM01160,2513F55R970CM01310,FS,0
2513F55R970CM01160,2513G55R460CM00110,FS,0
2513F55R970CM01160,2513G55R000CM00290,FS,0
2513F55R970CM01160,2513F55R970CM01190,FS,0
2513F55R970CM01180,2513F55R970CM01210,FS,0
2513F55R970CM01320,2513G55R530CM00270,FS,7
2513F55R970CM01190,2513G55R540CM00140,FS,0
2513F55R970CM01110,2513F55R980CM00210,SS,0
2513F55R980CM00250,2513G55R220CM00230,FS,0
2513F55R480CM00390,2513G55R480CM00100,FS,0
2513F55R520CM00400,2513M55R000ML11840,FS,0
2513F55R130CM00420,2513M55R000ML11530,FS,0
2513F55R900CM00020,2513F55R000LE00010,SS,0
2513F55R900CM00020,2513F55R930CM00030,FS,0
2513F55R910CM00040,2513F55R920CM00050,FS,0
2513F55R920CM00050,2513F55R980CM00210,SS,0
2513F55R910CM00140,2513F55R910CM00150,FS,0
2513F55R960CM00180,2513G55R130CM00190,FS,0
2513F55R430CM00260,2513M55R000ML11600,FS,0
2513F55R430CM00260,2513M55R000ML10560,FS,0
2513F55R480CM00270,2513F55R910CM00120,FS,0
2513F55R480CM00270,2513G55R480CM00090,FS,0
2513F55R460CM00280,2513F55R600CM00290,FS,2
2513F55R600CM00290,2513F55R970CM01170,SS,4
2513F55R420CM00300,2513G55R420CM00210,FS,0
2513F55R120CM00310,2513M55R000ML10530,FS,0
2513F55R120CM00310,2513F55R230CM00320,FS,0
2513F55R510CM00330,2513G55R510CM00170,FS,0
2513F55R220CM00350,2513M55R000ML11560,FS,0
2513F55R220CM00350,2513M55R000ML10520,FF,0
2513F55R530CM00360,2513F55R970CM01320,FS,0
2513F55R550CM00380,2513G55R550CM00150,FS,0
2513F55R970CM01270,2513F55R970CM01280,FS,0
2513F55R970CM01280,2513G55R220CM00230,FS,0
2513G55R480CM00090,2513G55R480CM00100,SS,0
2513G55R520CM00130,2513G55R230CM00160,FS,0
2513G55R420CM00210,2513G55R230CM00160,FS,0
2513G55R530CM00270,2513G55R000CM00290,FS,0
2513G55R000CM00280,2513M55R000ML11930,FS,0
2513G55R000CM00280,2513G55R000CM00030,FS,0
2513G55R000CM00300,2513M55R000ML11930,FS,0
2513G55R660CM00050,2513F55R550CM00380,FS,0
2513G55R660CM00050,2513G55R730CM00060,FS,0
2513G55R660CM00050,2513M55R000ML00050,SS,0
2513G55R660CM00050,2513M55R000ML57290,SS,0
2513P30R570WT10020,2513P30R570WT10030,FS,0
2513P40R530WT11020,2513P40R530WT11030,FS,0
2513P40R530WT11030,2513C40R530WT00074,FS,0
2513P55R000IN23010,2513M55R000ML10630,FS,0
2513P55R000IN23020,2513M55R000ML10870,FS,0
2513P55R000IN23030,2513C40R000IN00010,FS,0
2513P55R000IN23030,2513C60R000IN00010,FS,0
2513P55R000IN23030,2513C88R000IN00010,FS,0
2513P55R000IN23030,2513C20R000IN00010,FS,0
2513P55R000IN16030,2513C40R000IN00010,FS,0
2513P55R000IN16010,2513M55R000ML10800,FS,0
2513P55R000IN15010,2513M55R000ML10800,FS,0
2513P55R000IN15010,2513M55R000ML11270,FS,0
2513P55R000IN15030,2513C71R000IN00010,FS,0
2513P55R000IN15030,2513C60R000IN00010,FS,0
2513P55R000IN14030,2513C50R000IN00010,FS,0
2513P55R000IN14030,2513C30R000IN00010,FS,0
