activityID,activityName,duration,cost,quantity,wbsSeq,actSeq
M0010,착공,0,0,1,PRJ-02-116024.M,a1
M0020,준공,0,0,1,PRJ-02-116024.M,a2
G0010,건축 인하가 작성 및 신청,5,0,1,PRJ-02-116024.G,a3
G0020,건축 인허가 승인,3,0,1,PRJ-02-116024.G,a4
G0030,착공계 제출,1,0,1,PRJ-02-116024.G,a5
E0010,프레임. 샤시. 및 창틀 Shopdrawing 제작,1,0,1,PRJ-02-116024.E,a6
E0020,프레임. 샤시. 및 창틀 도면승인받기,1,0,1,PRJ-02-116024.E,a7
E0030,조이스트 및 데크 Shopdrawing 제작,5,0,1,PRJ-02-116024.E,a8
E0040,조이스트 및 데크 도면승인받기,5,0,1,PRJ-02-116024.E,a9
E0050,프리케스트 슬래브 Shopdrawing 제작,5,0,1,PRJ-02-116024.E,a10
E0060,프리케스트 슬래브 도면승인받기,5,0,1,PRJ-02-116024.E,a11
C0010,부지정리 및 철거하기,2,0,1,PRJ-02-116024.C,a12
C0020,기초 및 지장물 터파기,2,0,1,PRJ-02-116024.C,a13
C0030,기초 거푸집 설치하기,2,0,1,PRJ-02-116024.C,a14
C0040,지중파이프 설치하기,2,0,1,PRJ-02-116024.C,a15
C0050,기초 철근 및 콘크리트 타설하기,1,0,1,PRJ-02-116024.C,a16
C0060,기초 블록설치하기,3,0,1,PRJ-02-116024.C,a17
C0070,단열작업하기,1,0,1,PRJ-02-116024.C,a18
C0080,되메우기,4,0,1,PRJ-02-116024.C,a19
C0090,자갈 되메우기,1,0,1,PRJ-02-116024.C,a20
C0100,골조벽돌 쌓기,16,0,1,PRJ-02-116024.C,a21
C0110,자갈 되메우기 다짐하기,1,0,1,PRJ-02-116024.C,a22
C0120,위생설비 배관설치하기,3,0,1,PRJ-02-116024.C,a23
C0130,프레케스트 슬래브 설치하기,1,0,1,PRJ-02-116024.C,a24
C0140,땅고르기 및 용접망 설치하기,2,0,1,PRJ-02-116024.C,a25
C0150,조이스트 및 데크 설치하기,3,0,1,PRJ-02-116024.C,a26
C0160,바닥 콘크리트 타설하기,3,0,1,PRJ-02-116024.C,a27
C0170,옥상 시트메탈 및 채광창 설치하기,5,0,1,PRJ-02-116024.C,a28
C0180,조적 칸막이 설치하기,1,0,1,PRJ-02-116024.C,a29
C0190,화장실 위생기기 설치하기,2,0,1,PRJ-02-116024.C,a30
C0200,지붕 발열기 설치하기,5,0,1,PRJ-02-116024.C,a31
C0210,오버헤드도어 설치하기,5,0,1,PRJ-02-116024.C,a32
C0220,철제 칸막이 설치하기,1,0,1,PRJ-02-116024.C,a33
C0230,철제 계단 설치하기,1,0,1,PRJ-02-116024.C,a34
C0240,초기 및 마무리 목공사하기,4,0,1,PRJ-02-116024.C,a35
C0250,페인트 칠하기,8,0,1,PRJ-02-116024.C,a36
C0260,화장실 칸막이 설치하기,1,0,1,PRJ-02-116024.C,a37
C0270,바닥마감공사하기,3,0,1,PRJ-02-116024.C,a38
C0280,전기 및 조명공사하기,15,0,1,PRJ-02-116024.C,a39
C0290,준공 청소 및 펀치리스크 체크하기,2,0,1,PRJ-02-116024.C,a40
P0010,철근 자재주문 및 조달하기,3,0,1,PRJ-02-116024.P,a41
P0020,프레임. 샤시. 및 창틀 제작하기,3,0,1,PRJ-02-116024.P,a42
P0030,프레임. 샤시. 및 창틀자재 조달하기,1,0,1,PRJ-02-116024.P,a43
P0040,조이스트 및 데크 제작하기,8,0,1,PRJ-02-116024.P,a44
P0050,조이스트 및 데크자재 조달하기,3,0,1,PRJ-02-116024.P,a45
P0060,프리케스트 슬래브 제작하기,8,0,1,PRJ-02-116024.P,a46
P0070,프리케스트 슬래브 조달하기,2,0,1,PRJ-02-116024.P,a47
S0010,시운전,3,0,1,PRJ-02-116024.S,a48
S0020,준공검사,2,0,1,PRJ-02-116024.S,a49
S0030,건축물 사용승인 신청,1,0,1,PRJ-02-116024.S,a50
S0040,건축물 사용승인,3,0,1,PRJ-02-116024.S,a51
